,id,Datum,Warengruppe,Umsatz
0,1307011,2013-07-01,1,148.828353112183
1,1307012,2013-07-01,2,535.856284785361
2,1307013,2013-07-01,3,201.198425690037
3,1307014,2013-07-01,4,65.890168799361
4,1307015,2013-07-01,5,317.475874933038
5,1307021,2013-07-02,1,159.79375714468
6,1307022,2013-07-02,2,546.780787392297
7,1307023,2013-07-02,3,265.261253994438
8,1307024,2013-07-02,4,74.5439171827412
9,1307025,2013-07-02,5,383.628681612577
10,1307031,2013-07-03,1,111.885593514353
11,1307032,2013-07-03,2,427.343258749983
12,1307033,2013-07-03,3,210.260241465493
13,1307034,2013-07-03,4,69.2627280649987
14,1307035,2013-07-03,5,305.523072325318
15,1307041,2013-07-04,1,168.864940979931
16,1307042,2013-07-04,2,454.859641347987
17,1307043,2013-07-04,3,190.686641378586
18,1307044,2013-07-04,4,61.490175369225
19,1307045,2013-07-04,5,308.408167942149
20,1307051,2013-07-05,1,171.280754117955
21,1307052,2013-07-05,2,492.818804066088
22,1307053,2013-07-05,3,181.644870215041
23,1307054,2013-07-05,4,86.7598614451924
24,1307055,2013-07-05,5,355.518770367742
25,1307061,2013-07-06,1,174.552359998476
26,1307062,2013-07-06,2,631.906068038484
27,1307063,2013-07-06,3,291.557959835153
28,1307064,2013-07-06,4,80.6465768881107
29,1307065,2013-07-06,5,361.866932797941
30,1307071,2013-07-07,1,92.6377553788373
31,1307072,2013-07-07,2,695.25572963054
32,1307073,2013-07-07,3,279.665938833443
33,1307074,2013-07-07,4,94.6039024817053
34,1307075,2013-07-07,5,370.20960108863
35,1307081,2013-07-08,1,135.500244042392
36,1307082,2013-07-08,2,538.529249911711
37,1307083,2013-07-08,3,195.158794309303
38,1307084,2013-07-08,4,49.5000238633042
39,1307085,2013-07-08,5,285.233382496522
40,1307091,2013-07-09,1,136.048382778344
41,1307092,2013-07-09,2,585.957264698849
42,1307093,2013-07-09,3,245.808338509722
43,1307094,2013-07-09,4,75.2089975834558
44,1307095,2013-07-09,5,342.089345776475
45,1307101,2013-07-10,1,135.132314289581
46,1307102,2013-07-10,2,567.365764527953
47,1307103,2013-07-10,3,265.109142544045
48,1307104,2013-07-10,4,73.8056511129258
49,1307105,2013-07-10,5,343.353066508123
50,1307111,2013-07-11,1,138.549392636714
51,1307112,2013-07-11,2,569.109374584873
52,1307113,2013-07-11,3,234.65807920749
53,1307114,2013-07-11,4,68.6330279122302
